-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamSynchronize        60.32%     970.137ms        60.32%     970.137ms       4.851ms       0.000us         0.00%       0.000us       0.000us           200  
                                        cudaMemcpyAsync        22.08%     355.086ms        22.08%     355.086ms       1.110ms       0.000us         0.00%       0.000us       0.000us           320  
                                vj0/generate_and_decode         7.15%     114.911ms        94.63%        1.522s      76.092ms       0.000us         0.00%        1.106s      55.298ms            20  
                                        cudaGraphLaunch         1.72%      27.628ms         1.72%      27.628ms     460.468us       0.000us         0.00%       0.000us       0.000us            60  
                               TorchDynamo Cache Lookup         1.61%      25.894ms         1.61%      25.894ms     431.571us       0.000us         0.00%       0.000us       0.000us            60  
                                         vj0/vae_encode         1.06%      17.011ms         3.32%      53.398ms       2.670ms       0.000us         0.00%     287.668ms      14.383ms            20  
                                  vj0/input_jpeg_decode         0.99%      15.901ms         0.99%      15.901ms     795.070us       0.000us         0.00%       0.000us       0.000us            20  
                                 vj0/output_jpeg_encode         0.94%      15.190ms         0.94%      15.190ms     759.509us       0.000us         0.00%       0.000us       0.000us            20  
                             Torch-Compiled Region: 1/2         0.82%      13.179ms         1.87%      30.082ms       1.504ms       0.000us         0.00%     751.654ms      37.583ms            20  
                                            aten::copy_         0.62%       9.946ms        38.31%     616.111ms       1.100ms       6.260ms         0.45%       8.264ms      14.758us           560  
                                       cudaLaunchKernel         0.30%       4.820ms         0.30%       4.820ms       4.304us       0.000us         0.00%       0.000us       0.000us          1120  
                                aten::cudnn_convolution         0.27%       4.376ms         0.29%       4.628ms     115.711us     143.263us         0.01%     143.263us       3.582us            40  
                             Torch-Compiled Region: 0/2         0.17%       2.803ms         0.84%      13.507ms     675.363us       0.000us         0.00%     285.347ms      14.267ms            20  
                             Torch-Compiled Region: 2/2         0.14%       2.283ms         0.70%      11.290ms     564.491us       0.000us         0.00%     348.570ms      17.428ms            20  
## Call CompiledFxGraph fuctmyympltaez7ba46kc6ch3a3q...         0.14%       2.207ms         0.61%       9.794ms     489.690us     285.201ms        20.47%     285.347ms      14.267ms            20  
## Call CompiledFxGraph f7ubkeg575ftvndnywlv3x23haki...         0.13%       2.043ms         1.02%      16.411ms     820.544us     751.544ms        53.93%     751.654ms      37.583ms            20  
                                      Pregraph bytecode         0.09%       1.458ms         0.09%       1.458ms      24.308us       0.000us         0.00%       0.000us       0.000us            60  
## Call CompiledFxGraph fxoipytk7km3o7nonhgjvgvjtlit...         0.09%       1.440ms         0.54%       8.628ms     431.407us     348.431ms        25.00%     348.570ms      17.428ms            20  
