-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                vj0/generate_and_decode         0.00%       0.000us         0.00%       0.000us       0.000us        1.181s        84.72%        1.181s      59.033ms            20  
                                        vj0/transformer         0.00%       0.000us         0.00%       0.000us       0.000us     755.602ms        54.22%     755.602ms      37.780ms            20  
## Call CompiledFxGraph f7ubkeg575ftvndnywlv3x23haki...         0.13%       2.043ms         1.02%      16.411ms     820.544us     751.544ms        53.93%     751.654ms      37.583ms            20  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128...         0.00%       0.000us         0.00%       0.000us       0.000us     455.745ms        32.70%     455.745ms     350.573us          1300  
                                        vj0/vae_decoder         0.00%       0.000us         0.00%       0.000us       0.000us     355.503ms        25.51%     355.503ms      17.775ms            20  
## Call CompiledFxGraph fxoipytk7km3o7nonhgjvgvjtlit...         0.09%       1.440ms         0.54%       8.628ms     431.407us     348.431ms        25.00%     348.570ms      17.428ms            20  
                                         vj0/vae_encode         0.00%       0.000us         0.00%       0.000us       0.000us     305.979ms        21.96%     305.979ms      15.299ms            20  
## Call CompiledFxGraph fuctmyympltaez7ba46kc6ch3a3q...         0.14%       2.207ms         0.61%       9.794ms     489.690us     285.201ms        20.47%     285.347ms      14.267ms            20  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us     256.925ms        18.44%     256.925ms     256.925us          1000  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     130.854ms         9.39%     130.854ms     261.707us           500  
fmha_cutlassF_bf16_aligned_32x128_gmem_sm80(PyTorchM...         0.00%       0.000us         0.00%       0.000us       0.000us      68.151ms         4.89%      68.151ms       1.704ms            40  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us      64.343ms         4.62%      64.343ms     402.146us           160  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128...         0.00%       0.000us         0.00%       0.000us       0.000us      34.130ms         2.45%      34.130ms     341.305us           100  
triton_per_fused_abs_amax_cat_mul_permute_silu_split...         0.00%       0.000us         0.00%       0.000us       0.000us      28.414ms         2.04%      28.414ms      71.035us           400  
       triton_per_fused_convolution_native_group_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      25.979ms         1.86%      25.979ms     432.981us            60  
            triton_per_fused_clone_native_group_norm_47         0.00%       0.000us         0.00%       0.000us       0.000us      19.318ms         1.39%      19.318ms     965.876us            20  
