name,status,raw_status,valid_for_descriptive,cohort_root,source_summary,width,height,active_workers,variant,input_fps,stage_frames,stage_fps,p50_age_ms,p95_age_ms,p99_age_ms,max_age_ms,over_250_percent,over_500_percent,over_1000_percent,max_gap_ms,worker_ids,impulse_coverage_complete,errors
n06-512-workers1-baseline-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-baseline-r0/summary.json,512,288,1,baseline,43.12900625287018,1708,28.28891807983958,106.000244140625,135.7001953125,174.15514648437522,281.30029296875,0.117096018735363,0.0,0.0,181.199951171875,[0],True,
n06-512-workers1-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-terminal-noop-r0/summary.json,512,288,1,terminal-noop,42.505666870729165,2270,37.55853008818809,80.89990234375,110.45506591796877,152.87002685546838,264.5,0.04405286343612335,0.0,0.0,160.900146484375,[0],True,
n06-512-workers2-baseline-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-baseline-r0/summary.json,512,288,2,baseline,49.46029015991653,2643,43.74951368562898,85.300048828125,135.18002929687512,197.24806152343746,280.39990234375,0.1513431706394249,0.0,0.0,209.699951171875,"[0, 1]",True,
n06-512-workers2-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-terminal-noop-r0/summary.json,512,288,2,terminal-noop,51.64979508972578,3103,51.401319487947106,64.699951171875,93.28981933593751,107.997998046875,159.89990234375,0.0,0.0,0.0,91.599853515625,"[0, 1]",True,
n06-768-workers1-baseline-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-baseline-r0/summary.json,768,448,1,baseline,47.48709317167773,915,15.155455267556722,143.500244140625,187.52011718749998,226.686181640625,361.400146484375,0.6557377049180327,0.0,0.0,216.89990234375,[0],True,
n06-768-workers1-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-terminal-noop-r0/summary.json,768,448,1,terminal-noop,40.671190369338525,1299,21.493847147994607,140.800048828125,622.2599853515618,925.5341406249998,1200.699951171875,12.16320246343341,6.466512702078522,0.6928406466512702,523.800048828125,[0],True,
n06-768-workers2-baseline-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-baseline-r0/summary.json,768,448,2,baseline,42.12808942552148,1708,28.27299675394526,143.60009765625,177.26510009765627,214.05296142578138,308.10009765625,0.702576112412178,0.0,0.0,189.099853515625,"[0, 1]",True,
n06-768-workers2-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-terminal-noop-r0/summary.json,768,448,2,terminal-noop,44.08884713390271,2262,37.47800534268618,109.2999267578125,142.1899536132812,166.13904052734372,246.400146484375,0.0,0.0,0.0,124.599853515625,"[0, 1]",True,
n06-1024-workers1-baseline-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-baseline-r0/summary.json,1024,576,1,baseline,54.113593825054245,521,8.629685455418814,191.199951171875,226.699951171875,246.1999511718749,265.699951171875,0.7677543186180422,0.0,0.0,145.60009765625,[0],True,
n06-1024-workers1-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-terminal-noop-r0/summary.json,1024,576,1,terminal-noop,50.036591907993724,745,12.3352948284101,164.400146484375,211.740283203125,359.00013671875,494.400146484375,3.48993288590604,0.0,0.0,293.5,[0],True,
